dc_class,dcca_eng,NTorDC,dcca_class,pls_same,pls_diff_hk,pls_diff_kln,pls_diff_nt,pls_diff_oth,plw_same,plw_diff_hk,plw_diff_kln,plw_diff_nt,plw_diff_oth
Q,Sai Kung - Yan Ying,3,Q19,1355,428,500,117,77,972,2484,2855,675,287
Q,Sai Kung - Wai Yan,3,Q20,930,214,502,124,57,629,1865,2546,543,325
Q,Sai Kung - Wan Hang,3,Q21,1435,425,588,197,30,367,1829,2496,573,195
Q,Sai Kung - King Lam,3,Q22,744,144,228,61,31,1372,1730,1913,522,290
Q,Sai Kung - Hau Tak,3,Q23,1019,327,416,182,87,1430,1735,2239,506,364
Q,Sai Kung - Fu Nam,3,Q24,1157,166,571,154,37,670,2304,2763,391,440
Q,Sai Kung - Tak Ming,3,Q25,1146,296,587,153,79,1158,2390,2853,594,470
Q,Sai Kung - Nam On,3,Q26,1105,430,840,103,123,764,2287,2832,616,411
Q,Sai Kung - Kwan Po,3,Q27,1266,608,527,117,223,442,2245,2207,434,321
Q,Sai Kung - Wan Po North,3,Q28,1294,714,889,125,49,414,3564,3369,620,146
Q,Sai Kung - Wan Po South,3,Q29,1940,1467,1636,288,324,881,6398,5433,977,552
R,Sha Tin - Sha Tin Town Centre,2,R01,1531,144,699,219,27,1449,1782,2354,1254,316
R,Sha Tin - Lek Yuen,2,R02,1777,110,316,360,12,1466,596,1537,1165,279
R,Sha Tin - Wo Che Estate,2,R03,1512,78,260,334,-,1891,871,1874,1191,343
R,Sha Tin - City One,2,R04,1170,115,455,177,52,1102,1267,2323,1006,422
R,Sha Tin - Yue Shing,2,R05,1193,139,315,164,33,899,1723,2625,926,318
R,Sha Tin - Wong Uk,2,R06,1600,78,283,98,52,1203,1575,2245,1268,415
R,Sha Tin - Sha Kok,2,R07,1102,28,170,156,19,1226,817,1502,1057,272
R,Sha Tin - Pok Hong,2,R08,974,99,156,318,10,1482,901,1786,955,403
R,Sha Tin - Shui Chuen O,2,R09,3216,150,516,948,36,1222,867,1530,1514,286
R,Sha Tin - Jat Chuen,2,R10,2400,50,557,351,19,1335,951,1981,1402,280
R,Sha Tin - Chun Fung,2,R11,1389,85,315,258,81,1234,1058,1976,796,259
R,Sha Tin - Sun Tin Wai,2,R12,1114,72,395,149,5,1184,992,1847,1216,298
R,Sha Tin - Chui Tin,2,R13,1058,139,427,212,16,1058,953,1867,1037,262
R,Sha Tin - Hin Ka,2,R14,859,116,272,54,15,799,809,1684,1185,225
R,Sha Tin - Lower Shing Mun,2,R15,1963,143,798,378,35,1633,1144,1450,1333,212
R,Sha Tin - Wan Shing,2,R16,1791,297,1759,408,28,657,1699,2564,1132,228
R,Sha Tin - Keng Hau,2,R17,1351,129,668,274,72,1207,1362,2134,1351,339
R,Sha Tin - Tin Sum,2,R18,907,102,269,266,17,1374,763,1458,1050,176
R,Sha Tin - Chui Ka,2,R19,1211,96,387,251,12,1101,986,2160,1110,582
R,Sha Tin - Tai Wai,2,R20,1321,118,634,339,39,1586,1300,2460,1089,321
R,Sha Tin - Chung Tin,2,R21,1325,99,422,263,14,1084,1255,2075,921,262
R,Sha Tin - Sui Wo,2,R22,2140,174,776,929,112,1595,1556,2704,1638,393
R,Sha Tin - Fo Tan,2,R23,1780,154,1130,664,10,1712,2036,2508,1500,242
R,Sha Tin - Chun Ma,2,R24,1839,159,660,238,14,1224,1075,1966,780,211
R,Sha Tin - Hoi Nam,1,R25,794,138,678,1360,44,140,1051,2258,1816,267
R,Sha Tin - Chung On,1,R26,590,172,520,762,31,480,1157,2047,1892,284
R,Sha Tin - Kam To,1,R27,1411,66,470,1044,26,511,1022,2597,2373,342
